"CASE","QUESTNNR","MODE","STARTED","CA01_01","CA01_02","CA01_03","CA01_04","CA01_05","CA02_01","CA02_02","CA02_03","CA02_04","CA02_05","CA03_01","CA03_02","CA03_03","CA03_04","CA03_05","CA04_01","CA04_02","CA04_03","CA04_04","CA04_05","CA05_01","CA05_02","CA05_03","CA05_04","CA05_05","CA06_01","CA06_02","CA06_03","CA06_04","CA06_05","CA07","DD01_01","DD02","DD03","DD04","DD05","DD06","DD07","DD08","PK01","PK02","PK03","PK04","PK05","PK06","PK07","PK08","PK09","PK10","PK11","PK12","PK13","PK14","PK15","PK16","PK17","PK18","PK19","M1_RichtigFalsch","PM01_01","M2_RichtigFalsch","PM02_01","M3_RichtigFalsch","PM03_01","M4_RichtigFalsch","PM04_01","M5_RichtigFalsch","PM05_01","M6_RichtigFalsch","PM06_01","M7_RichtigFalsch","PM07_01","M8_RichtigFalsch","PM08_01","M9_RichtigFalsch","PM09_01","M10_RichtigFalsch","PM10_01","M11_RichtigFalsch","PM11_01","M12_RichtigFalsch","PM12_01","M13_RichtigFalsch","PM13_01","M14_RichtigFalsch","PM14_01","M15_RichtigFalsch","PM15_01","M16_RichtigFalsch","PM16_01","M17_RichtigFalsch","PM17_01","M18_RichtigFalsch","PM18_01","M19_RichtigFalsch","PM19_01","SC01","SC07","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DK","DL"
72,"base","interview","31-10-2025 13:06:00",2,3,1,1,1,4,3,3,2,3,2,3,1,1,1,3,3,4,4,4,2,3,2,2,2,5,3,5,4,3,4,"21",2,1,1,,,,1,5,4,5,5,5,5,5,5,3,2,5,2,5,4,3,3,3,2,1,1,"Something important ",1,"important ",1,"camera",1,"camera access",1,"payment ",1,"didn't appear, payment?",1,"location (data, access)",1,"location",2,"giving data away",,,1,"contacts",,,1,"contacts",1,"Right to data",1,"right to data",1,"right to data",1,"i don't remember that this one appeared, but it's closest to ""giving away data""",,,,,2,2,34,15,16,25,9,14,17,6,17,31,32,19,76,42,21,11,60,12,10,,427,,"31-10-2025 13:13:48",,1,0,19,19,0,0,1.05,,
73,"base","interview","31-10-2025 13:06:15",1,5,1,2,1,5,1,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,4,4,4,,2,1,6,4,,,,3,5,2,4,5,4,5,2,4,4,4,5,5,4,2,3,3,4,3,2,"Did you know what it means",1,"Something to be notefull of",,,1,"Camera",1,"Payment method ",2,"Database",1,"location ",,,2,"I don?t know ",2,"I don?t know",1,"Contacts",1,"contacts",2,"No idea",1,"Data rights",,,2,"No idea",2,"No",2,"No",2,"No idea",2,2,94,13,22,26,17,22,20,25,28,52,34,21,50,28,9,29,11,21,6,,444,,"31-10-2025 13:15:03",,1,0,19,19,1,1,0.9,,
74,"base","interview","31-10-2025 13:06:39",2,4,2,2,2,5,2,4,3,4,2,3,1,1,3,4,4,4,4,5,3,2,3,5,3,3,3,3,3,3,4,"21",2,1,1,,,,3,4,3,4,3,2,3,2,3,2,2,4,5,3,4,3,2,2,2,2,2,"No",2,"No",2,"Photo evidence",2,"Photos",,,2,"No",,,1,"Location data",,,,,1,"Contacts",1,"Contacts",2,"No",1,"Legal rights",1,"Legal rights",,,,,,,,,2,2,4,12,21,13,12,11,14,8,18,25,36,19,13,5,11,8,16,4,6,,256,,"31-10-2025 13:10:57",,1,0,19,19,0,0,1.65,,
75,"base","interview","31-10-2025 13:06:43",1,5,1,1,1,5,1,5,2,3,5,1,5,1,3,5,1,5,1,3,2,3,2,2,2,5,1,5,1,5,4,"25",1,1,6,1,,,,1,4,3,5,5,3,5,5,2,2,5,5,4,1,3,4,2,1,2,,,1,"Something important",1,"Camera",2,"Video",1,"Payment",2,"No",1,"Location",1,"Location",,,,,1,"Contacts",1,"Contact",1,"Contacts",,,1,"Rights",1,"Rights",,,,,,,2,2,37,11,8,18,17,16,18,15,20,35,33,21,,24,11,23,16,16,8,,347,,"31-10-2025 13:12:30",,1,0,19,19,0,0,1.09,,
76,"base","interview","31-10-2025 13:07:02",1,5,1,1,1,5,1,4,1,5,5,3,3,4,3,2,3,2,3,3,2,2,2,3,3,5,1,3,2,5,4,"22",2,1,4,,,4,,4,4,5,5,5,3,5,5,4,5,5,5,2,3,5,3,4,2,2,2,"Warning",2,"Idea",1,"Camera",1,"Camera",1,"Payment",2,"Database",1,"Location ",1,"Location ",2,"Contract sign",2,"No",1,"Contacts",1,"Contacts",,,1,"Rights",1,"Right to data",1,"Right",1,"Data given away",,,,,2,2,7,10,15,22,10,11,13,12,17,30,28,20,25,13,16,11,23,24,3,,310,,"31-10-2025 13:12:13",,1,0,19,19,0,0,1.31,,
78,"base","interview","31-10-2025 13:07:40",1,5,1,1,1,5,1,5,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,5,1,5,1,1,4,"24",2,1,4,,,4,,5,4,5,5,5,3,5,5,5,5,5,5,5,2,3,3,5,3,2,2,"Warning!",2,"Insightful ",1,"Camera",1,"Camera",1,"Payment method ",2,"Data store",1,"location ",2,"Map",1,"Data collection ",1,"Data collect",1,"Contacts",1,"Contacts",1,"contacts",,,1,"Data law",1,"Data law",1,"Data share",1,"Data share",,,2,2,37,26,25,45,15,23,21,18,20,25,29,19,16,20,36,25,14,18,7,,439,,"31-10-2025 13:14:59",,1,0,19,19,0,0,0.93,,
82,"base","interview","31-10-2025 13:16:29",3,4,2,2,2,4,3,4,,4,4,2,4,4,4,4,2,4,3,2,4,2,4,4,2,4,2,4,4,3,4,"22",1,1,1,,,,2,4,4,2,5,4,5,5,5,2,2,4,3,4,2,4,3,2,2,2,1,"something noteworthy",1,"noteworthy",,,1,"camera useage",1,"payment ",1,"payment",1,"location",1,"location ",,,,,1,"contacts ",1,"contacts",1,"contacts ",,,1,"rights",1,"rights ",,,,,,,2,1,4,11,13,18,9,38,9,6,17,59,44,19,21,20,5,15,16,8,3,5,319,,"31-10-2025 13:22:09",,1,0,20,20,1,1,1.6,,
85,"base","interview","31-10-2025 14:01:32",1,3,1,2,2,3,2,4,4,4,2,4,2,3,3,3,3,3,5,5,3,3,3,4,4,5,1,5,2,3,4,"26",2,2,1,,,,2,4,1,1,4,5,3,5,4,1,1,4,1,1,1,2,2,2,1,1,1,"Something noteworthy",,,,,1,"Camera Usage",1,"Payment Methods",2,"Data banks",1,"Location Data",1,"Location Data",,,,,1,"Contacts",,,,,,,,,,,,,,,,,2,2,29,20,35,40,25,23,16,15,15,59,73,33,28,20,,,43,,10,,484,,"31-10-2025 14:09:36",,1,0,19,19,0,0,0.73,,
86,"base","interview","31-10-2025 14:18:15",1,3,1,1,1,5,3,5,3,5,3,3,3,4,4,4,4,4,3,4,2,3,2,2,3,5,1,5,4,3,4,"21",2,2,1,,,,2,3,3,5,5,5,5,5,5,3,5,5,2,5,4,2,1,2,4,3,1,"important",2,"information",1,"camera",1,"camera",1,"payment",,,1,"geolocation",1,"geo location",2,"edit data",2,"edit data",1,"contacts",,,1,"contact",1,"datarights",,,,,,,1,"give data away",2,"idk",2,2,5,15,9,28,10,16,21,9,14,28,50,52,24,18,18,30,20,24,7,,398,,"31-10-2025 14:24:53",,1,0,19,19,1,1,1.1,,
96,"base","interview","31-10-2025 15:02:27",3,5,4,2,4,2,4,4,3,3,4,4,3,3,3,2,2,3,3,3,2,3,2,3,3,2,2,3,4,2,4,"23",1,2,1,,,,4,3,5,3,4,2,4,5,5,5,5,5,5,5,2,5,5,3,3,4,1,"Attention",2,"Don?t remember ",1,"Camera",1,"Camera ",,,2,"Money ",1,"Standort ",1,"Standort ",2,"Notes ",2,"Notes ",1,"Contacts ",2,"Message",2,"Adressbuch",,,2,"Noo don?t remember ",2,"No ",2,"I don?t remember Sorri ",2,"Don?t remember ",2,"No ",2,1,2,9,20,8,9,9,9,6,5,14,19,11,18,10,17,17,13,18,5,19,238,,"31-10-2025 15:06:27",,1,0,20,20,0,0,1.81,,
97,"base","interview","31-10-2025 15:03:53",2,3,2,1,2,4,3,4,2,5,2,4,2,2,2,5,3,4,4,4,3,4,2,2,3,5,1,5,1,3,4,"21",1,2,1,,,,2,4,4,3,5,4,4,5,5,3,2,4,4,4,3,2,2,5,4,2,1,"Paying attetion",2,"Ideas",1,"Camera ",1,"Camera ",1,"Payment method",2,"Money",1,"Data location",1,"Data location",2,"Data editor",,,1,"Contacts",1,"Contacts?",1,"Contacts",1,"Data rights",,,,,1,"Sharing data",1,"Data sharing ",,,2,1,4,13,30,23,11,8,10,9,12,33,23,20,28,25,53,67,31,6,5,15,341,,"31-10-2025 15:10:59",,1,0,20,20,0,0,1.31,,
98,"base","interview","31-10-2025 15:08:35",2,4,2,2,2,4,2,4,3,3,2,3,2,2,3,4,3,4,4,5,2,3,2,2,2,3,3,3,3,3,4,"21",1,2,1,,,,2,4,4,2,4,5,2,5,5,2,2,3,4,4,2,4,4,4,2,2,1,"Something important",1,"Something is noteworthy/important ",,,1,"Camera usage",1,"Kreditcard/pay",,,1,"Location",1,"Location (data) ",,,,,1,"Contacts",1,"Contacts ",1,"Contacts ",,,1,"Law",1,"Rights to data",1,"Something to do with sending data? ",,,,,2,1,21,31,64,33,15,12,13,12,16,33,50,15,100,45,18,164,40,35,4,39,570,,"31-10-2025 15:21:15",,1,0,20,20,0,0,0.82,,
101,"base","interview","31-10-2025 15:13:58",2,4,2,1,2,4,3,3,4,4,4,3,2,3,3,4,4,3,4,3,3,3,2,3,3,5,2,4,4,4,4,,2,2,1,,,,2,4,4,3,5,4,3,5,4,2,3,5,3,4,2,3,2,4,4,4,1,"Noteworthy ",1,"Noteworthy ",1,"Camera ",1,"Camera ",1,"Payment ",2,"Never Seen this ",1,"Location ",1,"Data Location ",,,1,"Data",1,"Contacts",1,"Contacts",1,"Contact ",,,1,"Data rights ",,,1,"Giving away data",1,"Giving data away ",1,"Giving Data away ",2,1,10,8,17,21,10,12,16,9,15,26,34,23,26,21,16,23,17,23,5,15,347,,"31-10-2025 15:19:47",,1,0,20,20,1,1,1.19,,
104,"base","interview","31-10-2025 15:20:51",2,4,2,2,2,3,3,3,3,3,2,4,3,3,2,4,2,4,4,4,1,4,1,2,1,5,2,5,5,5,4,"20",1,2,1,,,,2,4,2,4,5,3,2,5,5,2,2,5,1,2,4,4,3,5,4,2,2,"Danger ",,,1,"Camera",1,"Camera",2,"Credit card ",,,1,"Location",1,"Location",,,,,1,"Contacts ",,,,,1,"Rights",1,"Rights",1,"Law",1,"Giving data away",1,"Giving data away",,,2,1,4,10,12,55,10,10,11,11,11,24,49,15,23,15,11,12,9,4,5,7,308,,"31-10-2025 15:25:59",,1,0,20,20,0,0,1.62,,
106,"base","interview","31-10-2025 15:27:39",1,3,1,1,2,4,5,3,4,2,5,1,5,4,4,3,4,3,5,4,2,4,3,2,2,5,1,5,5,5,4,"19",1,2,1,,,,2,3,1,3,4,4,3,5,5,1,2,4,3,3,1,2,1,5,1,2,2,"Collecting data",,,1,"Camera usage",1,"Camera",1,"Payment",1,"Payment",1,"Location",1,"Location data",,,,,1,"Contacts ",1,"Contacts",2,"Copying contacts ",,,,,,,1,"transferring data",,,,,2,1,5,13,16,19,7,39,12,8,12,23,25,15,18,15,5,6,13,6,5,9,249,,"31-10-2025 15:32:10",,1,0,20,20,0,0,1.72,,
108,"base","interview","31-10-2025 15:29:59",2,4,1,1,2,4,2,4,3,4,2,1,2,2,1,3,4,4,4,2,4,1,4,4,3,5,1,4,3,4,4,"27",1,2,1,,,,2,4,2,2,5,5,4,5,5,3,3,5,5,2,5,4,1,5,4,3,1,"Pay attention",,,,,1,"Camera",1,"Payment",1,"Payment",1,"Location data",1,"Location",2,"Send data",1,"Measurement or collect data",1,"Contact",1,"Contact",,,2,"Humana rights",2,"Human rights",,,1,"Send data",1,"Send data",1,"Send dara",2,2,20,16,26,24,12,20,15,8,16,25,34,24,25,18,15,9,13,22,5,,347,,"31-10-2025 15:35:46",,1,0,19,19,0,0,1.15,,
111,"base","interview","31-10-2025 15:44:04",3,4,2,2,2,3,3,3,3,3,3,3,3,3,3,4,2,3,3,5,3,3,3,3,4,5,1,5,5,5,4,"21",1,2,1,,,,1,4,2,3,5,5,2,5,5,2,3,5,2,4,5,3,2,3,2,2,1,"Something important",,,2,"Foto",2,"Photo ",1,"Payment",,,1,"Location",1,"Location",,,2,"-",1,"Contact",,,1,"Contact",2,"Data collecting",1,"Data rights",,,1,"Giving data away",,,,,2,1,21,12,27,20,11,21,13,10,12,27,56,21,33,16,21,,13,11,7,10,362,,"31-10-2025 15:50:06",,1,0,20,20,0,0,1.16,,
112,"base","interview","31-10-2025 15:44:07",2,4,1,2,2,4,2,3,2,2,3,2,4,3,4,3,4,3,3,2,2,2,3,3,3,5,2,4,3,2,4,"20",1,2,1,,,,2,3,3,2,4,3,3,4,4,2,2,4,3,2,3,2,2,2,2,2,2,"Alarming",2,"Idea",,,1,"Camera use",1,"Payment info",2,"Idk looks like money",1,"Location Data",1,"Location data",,,,,1,"Contacts",1,"Contacts ",,,1,"Data justice ",,,,,,,,,,,2,2,29,15,19,28,14,18,394,14,19,27,39,709,26,23,,13,32,,4,,363,,"31-10-2025 16:07:50",,1,0,19,19,0,0,0.89,,
113,"base","interview","31-10-2025 15:46:21",2,4,1,1,2,4,2,5,2,3,3,3,2,2,3,4,2,3,4,5,2,4,2,2,2,5,1,5,2,4,4,"20",2,2,1,,,,2,4,4,2,4,4,4,5,5,2,4,4,4,3,3,4,4,2,2,3,2,"Alarming symbol",2,"Alarming message",,,1,"Rights to use camera",2,"Payment instructions",1,"Payment",1,"Rights to use location",1,"Rights to use location ",,,1,"Rights to use this data",1,"Contacts",1,"Contacts ",1,"Contacts",1,"Rights about this data",1,"Rights to use data",1,"Rights to use this data ",,,,,2,"Contacts",2,1,6,21,29,36,22,19,39,26,27,61,61,81,65,76,31,39,43,78,13,30,610,,"31-10-2025 15:59:44",,1,0,20,20,0,0,0.6,,
114,"base","interview","31-10-2025 15:46:30",1,4,1,1,1,2,4,2,4,4,4,1,5,5,4,5,1,5,2,1,2,4,2,4,4,5,1,4,5,4,4,"21",1,2,1,,,,2,4,1,2,5,4,5,5,5,1,2,5,1,5,2,3,4,2,2,2,1,"important message",,,,,1,"camera usage",1,"payment",1,"payment",2,"navigation",2,"navigation ",,,,,1,"contacts",,,1,"contacts",,,1,"rights to data",1,"rights to data",,,,,,,2,1,20,9,13,16,8,11,8,7,11,28,32,18,14,20,5,,14,9,7,9,259,,"31-10-2025 15:50:49",,1,0,20,20,0,0,1.61,,
118,"base","interview","31-10-2025 16:27:00",3,2,1,1,1,4,3,3,3,1,2,4,2,2,2,4,3,4,4,4,5,1,3,2,2,4,2,4,2,3,4,"31",1,2,1,,,,2,5,3,3,4,4,4,4,4,2,2,5,4,3,2,1,2,2,2,1,1,"Importance",2,"Information",2,"Photos",2,"Photo data",1,"Payment",1,"Payment data",1,"Location",1,"Location data",,,,,1,"Contacts",1,"Contacts",2,"Collecting written data",,,,,,,,,,,,,2,1,8,16,14,24,13,20,21,12,342,47,40,34,14,16,6,11,26,10,4,224,375,,"31-10-2025 16:42:02",,1,0,20,20,0,0,1.14,,
119,"base","interview","31-10-2025 16:37:20",2,4,2,2,1,4,2,4,2,2,4,2,4,2,3,2,2,4,2,2,4,2,2,2,2,5,1,4,1,4,4,"22",1,2,1,,,,2,5,1,5,4,4,4,5,4,1,1,5,1,1,1,1,3,4,1,1,2,"No",,,1,"Camera",1,"Camera",1,"Payment",1,"Payment",1,"Location",1,"Location",,,,,1,"Contact",,,,,,,,,2,"No",2,"No",,,,,2,1,10,12,14,28,13,19,15,9,22,25,32,23,18,25,8,,24,6,3,22,328,,"31-10-2025 16:42:48",,1,0,20,20,0,0,1.3,,
121,"base","interview","31-10-2025 23:27:55",2,4,1,2,2,4,2,4,3,3,3,2,3,5,3,4,3,5,5,4,3,3,3,3,3,4,4,4,4,5,4,"19",2,2,1,,,,2,1,3,4,4,4,2,5,5,1,1,3,3,3,5,3,1,5,2,1,,,2,"Idea",1,"Camera",1,"Camera",1,"Payment data ",,,1,"Data Location ",1,"Data Location ",,,,,1,"Contacts",1,"Contacts",1,"Contacts",1,"Data rights",1,"Data rights",,,1,"Send data",,,,,2,1,5,14,12,19,18,22,17,13,24,56,50,35,27,29,16,26,11,12,7,23,436,,"31-10-2025 23:35:11",,1,0,20,20,0,0,1.05,,
122,"base","interview","01-11-2025 01:50:10",1,5,1,1,3,3,2,5,3,3,2,3,2,2,3,2,2,4,4,3,2,4,2,2,3,5,1,4,4,3,4,"19",1,2,1,,,,2,3,4,1,5,5,5,5,5,3,5,5,4,2,4,2,2,2,3,2,1,"Etwas bemerkenswertes ",1,"Etwas bemerkenswertes",,,1,"Kameraf�hrung",1,"Zahlungsma�nahmen",2,"Wurde vorher nicht gezeigt ",1,"Standort",1,"Standort ",1,"Daten sammeln",1,"Daten sammeln",1,"Kontakliste",1,"Kontakte",,,1,"Rechte auf Daten",,,,,,,1,"Daten verschenken",,,2,1,69,19,16,47,20,22,21,12,19,41,67,28,27,25,8,25,39,8,10,37,501,,"01-11-2025 01:59:30",,1,0,20,20,0,0,0.89,,
125,"base","interview","01-11-2025 11:08:54",1,5,1,1,1,5,1,5,1,5,2,4,2,1,1,3,3,3,3,3,4,2,4,2,4,5,1,5,1,5,4,"18",1,2,1,,,,2,4,4,2,4,4,2,4,4,2,4,5,5,2,2,2,2,5,2,2,,,2,"Information",,,2,"Photo Collection ",2,"Kredit info",,,1,"Location data",1,"Location data",,,2,"Rights to Data",1,"Contact",1,"Contacts",,,,,,,,,1,"Giving data away",,,,,2,1,11,15,14,45,20,25,19,20,20,31,41,31,29,35,,17,18,19,7,20,437,,"01-11-2025 11:16:11",,1,0,20,20,1,1,0.91,,
128,"base","interview","01-11-2025 21:44:23",1,4,1,1,1,3,2,4,3,2,3,2,3,2,2,5,2,4,5,5,3,2,3,4,5,5,1,5,1,3,4,"21",1,2,1,,,,2,4,3,4,5,5,3,5,4,3,3,5,4,4,3,3,3,3,2,2,1,"Importance ",1,"Important informations ",1,"Camera ",1,"Camera ",1,"Payment ",1,"Payments ",1,"Location ",1,"Location ",2,"Notes ",2,"Giving data ",1,"Contacts ",1,"Contacts ",1,"Contacts ",1,"Rights to data ",1,"Law for data ",1,"Rights for data ",1,"Giving data away ",,,,,2,1,15,14,14,20,28,54,12,9,27,25,40,30,62,13,22,24,15,33,6,11,423,,"01-11-2025 21:52:18",,1,0,20,20,0,0,1.01,,
129,"base","interview","02-11-2025 07:40:53",1,5,1,1,1,3,3,3,3,4,3,3,3,3,4,3,2,3,2,4,3,3,2,3,4,5,1,5,4,4,4,"35",1,2,1,,,,2,5,4,1,4,4,2,5,5,2,4,5,4,4,2,2,5,5,5,4,1,"Important to note",1,"Important to note",,,1,"Symbol for camera use",1,"Payment symbol",,,1,"Location data",1,"Location data",,,1,"Collectin data",1,"Contacts",1,"Contact symbols",1,"Contacts",,,,,2,"Justice",1,"Data giveb away",1,"Data given away",1,"Data shared/given away",2,1,24,15,24,42,22,24,34,19,35,43,39,33,40,28,,27,19,74,8,24,518,,"02-11-2025 07:50:27",,1,0,20,20,0,0,0.71,,
